date,adjClose,daily_return,ema,rsi
2013-01-02 00:00:00+00:00,103.7648624983,0.0,,
2013-01-03 00:00:00+00:00,102.5978724796,-1.1246485473048518,,
2013-01-04 00:00:00+00:00,103.0841183207,0.47393364925445436,103.14895109953333,
2013-01-07 00:00:00+00:00,102.7437462319,-0.3301886792503539,102.94634866571667,27.397260272660546
2013-01-08 00:00:00+00:00,101.6253807973,-1.088499763358619,102.28586473150833,11.331444758566409
2013-01-09 00:00:00+00:00,101.8685037179,0.23923444979254693,102.07718422470415,25.564803806238547
2013-01-10 00:00:00+00:00,102.9382445684,1.0501193317439705,102.50771439655207,63.85681293352414
2013-01-11 00:00:00+00:00,102.7437462319,-0.18894662262357587,102.62573031422605,55.99999999884647
2013-01-14 00:00:00+00:00,102.6951216478,-0.04732607665508537,102.66042598101302,53.53015911391646
2013-01-15 00:00:00+00:00,103.0841183207,0.3787878787797627,102.8722721508565,69.61269137884574
2013-01-16 00:00:00+00:00,102.6951216478,-0.37735849055798854,102.78369689932825,45.824110002841735
2013-01-17 00:00:00+00:00,103.5703641618,0.8522727272301411,103.17703053056412,74.84088854425005
2013-01-18 00:00:00+00:00,107.1685833862,3.4741784037553236,105.17280695838207,94.152968468857
2013-01-22 00:00:00+00:00,107.0227096339,-0.13611615241223562,106.09775829614104,89.95407009651588
2013-01-23 00:00:00+00:00,106.6823375451,-0.3180372557977096,106.39004792062052,77.80901937935911
2013-01-24 00:00:00+00:00,107.2172079703,0.5013673654965523,106.80362794546025,83.16629631183216
2013-01-25 00:00:00+00:00,108.3841979891,1.0884353742202313,107.59391296728012,90.59617723692695
2013-01-28 00:00:00+00:00,109.4053142555,0.9421265141461799,108.49961361139006,94.04556513954647
2013-01-29 00:00:00+00:00,109.4053142555,0.0,108.95246393344503,94.04556513954648
2013-01-30 00:00:00+00:00,108.0924504844,-1.2000000000310762,108.52245720892252,45.628374537610206
2013-01-31 00:00:00+00:00,108.335573405,0.22492127758273472,108.42901530696126,52.4310853225732
2013-02-01 00:00:00+00:00,109.9888092648,1.5260323159222766,109.20891228588063,79.10137076241496
2013-02-04 00:00:00+00:00,108.4814471573,-1.3704686118303222,108.84517972159031,44.77114505284574
2013-02-05 00:00:00+00:00,109.5998125919,1.0309278350411066,109.22249615674517,62.758776791605314
2013-02-06 00:00:00+00:00,109.1135667508,-0.4436557231266125,109.16803145377258,51.76373307250167
2013-02-07 00:00:00+00:00,109.3080650872,0.17825311937993416,109.2380482704863,56.35189879618979
2013-02-08 00:00:00+00:00,109.4053142555,0.0889679715969871,109.32168126299315,59.25836404110721
2013-02-11 00:00:00+00:00,109.1621913349,-0.22222222225167787,109.24193629894657,47.41779879107065
2013-02-12 00:00:00+00:00,109.7943109284,0.579064587995215,109.51812361367328,70.44730054003215
2013-02-13 00:00:00+00:00,113.7329022416,3.5872453498692503,111.62551292763663,94.19778553253119
2013-02-14 00:00:00+00:00,113.8301514098,0.08550662673973974,112.72783216871832,94.36549865621005
2013-02-15 00:00:00+00:00,113.2466564004,-0.512601452403727,112.98724428455915,74.88462466625712
2013-02-19 00:00:00+00:00,115.4833872696,1.9750966079667087,114.23531577707958,88.5162375289254
2013-02-20 00:00:00+00:00,113.8301514098,-1.4315789473168694,114.03273359343979,55.26202298331289
2013-02-21 00:00:00+00:00,114.0246497462,0.17086715074268177,114.02869166981989,58.043619281512484
2013-02-22 00:00:00+00:00,114.6619328274,0.5588993981726631,114.34531224860994,67.86380962943173
2013-02-25 00:00:00+00:00,111.81866985,-2.479692176199344,113.08199104930497,26.443374227073164
2013-02-26 00:00:00+00:00,112.9951924613,1.0521701008232798,113.03859175530249,46.6530898151911
2013-02-27 00:00:00+00:00,114.5638892764,1.3882863340732632,113.80124051585125,65.5715523627337
2013-02-28 00:00:00+00:00,113.8285626444,-0.6418485236878935,113.81490158012562,52.484540208441736
2013-03-01 00:00:00+00:00,113.6814973179,-0.12919896648385665,113.74819944901282,49.51955179514135
2013-03-04 00:00:00+00:00,114.0736715217,0.3449762829067282,113.91093548535642,58.82408960284849
2013-03-05 00:00:00+00:00,115.6423683368,1.3751611517137663,114.7766519110782,80.44752261620093
2013-03-06 00:00:00+00:00,116.0345425406,0.33912674864788883,115.4055972258391,83.66448222063921
2013-03-07 00:00:00+00:00,116.083564316,0.04224757070321328,115.74458077091955,84.15334032318552
2013-03-08 00:00:00+00:00,116.5247602953,0.3800675676179255,116.13467053310978,88.71322268687376
2013-03-11 00:00:00+00:00,115.7894336632,-0.6310475389406656,115.96205209815489,51.59617507027132
2013-03-12 00:00:00+00:00,114.7599763783,-0.8890770533470427,115.36101423822744,27.46483745811986
2013-03-13 00:00:00+00:00,115.1521505821,0.34173430160635565,115.25658241016373,42.76198355523663
2013-03-14 00:00:00+00:00,116.1325860915,0.8514261387597477,115.69458425083187,68.03859836211578
2013-03-15 00:00:00+00:00,114.9070417047,-1.0552975939366438,115.30081297776593,37.220035208730984
2013-03-18 00:00:00+00:00,113.9756279708,-0.8105802047307487,114.63822047428297,24.54546687864494
2013-03-19 00:00:00+00:00,114.3187803991,0.3010752688179297,114.47850043669149,36.4961365752478
2013-03-20 00:00:00+00:00,115.0050852557,0.6003430531746679,114.74179284619575,56.950829026504266
2013-03-21 00:00:00+00:00,114.1717150727,-0.7246376811487099,114.45675395944787,35.892965928947966
2013-03-22 00:00:00+00:00,114.5638892764,0.3434950621967081,114.51032161792394,49.16189629048211
2013-03-25 00:00:00+00:00,113.9266061953,-0.5562687205586059,114.21846390661196,32.676222569479044
