Type,Entry Price,Exit Price,Profit Factor,Capital
Long,14.0711134199,14.2300913724,1.011298178598658,10112.98178598658
Long,14.1067622776,13.9894040959,0.991680714582796,10028.849004089972
Long,14.044068301600001,13.679331426400001,0.9740291155406552,9768.390925344536
Long,13.6306586647,13.6549332781,1.0017808833745403,9785.787290339493
Long,13.7478933115,12.8182929775,0.9323823430297937,9124.095282157912
Long,17.3917916152,16.5984765927,0.9543856642229624,8707.905736295877
Long,19.124497621,19.1282934822,1.0001984816163658,8709.634095501578
Long,19.1789049647,19.2092718542,1.0015833484526824,8723.424481170121
Long,19.4262685853,19.7900386157,1.0187256769771662,8886.776510139216
Long,20.098452337,20.0231677569,0.9962542100835592,8853.488512297874
Long,19.8855677889,20.166777838399998,1.0141414141394025,8978.689359928721
Long,20.4770894904,20.4207842161,0.9972503282594727,8954.000911528752
Long,20.973419313900003,21.520340193400003,1.0260768581085646,9187.493122802645
Long,21.4849121202,21.6268458383,1.0066062042658557,9248.187579063024
Long,21.9255487802,21.7838364875,0.9935366592589931,9188.413391502792
Long,21.732908632399997,22.5709095402,1.0385590774789661,9542.710135374518
Long,22.622090740999997,22.615414932199997,0.9997048986817164,9539.894069033571
Long,22.444069173000003,22.604288584200003,1.0071386079754532,9607.995632919752
Long,22.651019245700002,22.488574565,0.9928283721391107,9539.090663751402
Long,22.8401671616,22.6421181673,0.9913289166012336,9456.376413057618
Long,22.4195912075,22.4195912075,1.0,9456.376413057618
Long,28.9318536314,29.409054986100003,1.0164939779102882,9612.34967672596
Long,28.572079161399998,28.952829940300003,1.0133259738204277,9740.443596870808
Long,29.2029088543,29.7548848356,1.018901404105116,9924.551657458353
Long,25.745469236799998,25.9242572176,1.006944444444013,9993.47215507531
Long,26.9924588244,26.6585076982,0.9876279842317247,9869.832759992898
Long,23.0514609153,22.601432394099998,0.9804772234239911,9677.146220176983
Long,22.7264403167,22.1241294172,0.9734973497342033,9420.676198332656
Long,22.074126248200002,22.4214623962,1.0157349896478154,9568.91044078884
Long,24.2152707921,24.1764239861,0.9983957723895175,9553.559730457493
Long,24.203845260900003,24.201560154699997,0.9999055891253901,9552.657770527703
Long,24.386653759899996,24.2518324919,0.9944715142418724,9499.846038091075
Long,24.146717605,24.0370325056,0.9954575565427043,9456.693524610031
Long,24.6060239586,25.0356239312,1.0174591381900142,9621.79924367681
Long,24.905372875700003,25.133883499299998,1.0091751536803109,9710.080730418644
Long,25.3921005041,25.0927515871,0.9882109431257305,9595.60803643399
Long,25.355538804299997,22.721764911300003,0.8961262896707469,8598.876626824393
Long,22.7125686086,22.7102695329,0.9998987751786413,8598.006207073957
Long,22.951672478899997,22.9608687816,1.0004006811577002,8601.451266154922
Long,22.9815604627,22.8597094519,0.9946978791541258,8555.84533209187
Long,23.66898409,23.988555609000002,1.0135016998526363,8671.363787751354
Long,23.958667625300002,25.049224954,1.0455182794701148,9066.069348029252
Long,25.1509289217,24.963701162899998,0.9925558312624205,8998.579998015925
Long,25.5556252758,25.5463314763,0.9996363305769396,8995.307489619683
Long,25.571889425,25.9599055557,1.0151735417063341,9131.798162974726
Long,25.7972640638,27.0937490991,1.0502566873794688,9590.732088463754
Long,33.5550274079,33.5270259942,0.9991655076492828,9582.728695898153
Long,34.1679715935,33.9875605798,0.9947198793113512,9532.130731857233
Long,34.0976815881,34.1468845919,1.0014430014449185,9545.885610276455
Long,34.622513628,37.5883044324,1.0856607592465932,10363.593419333865
Long,36.341477461,37.7506271891,1.038775245987515,10765.444303483127
Long,41.074120994,40.878158929099996,0.9952290624812488,10714.083041349613
Long,41.3102198673,41.1024528588,0.9949705663836357,10660.197271932931
Long,41.383410518000005,38.9567723804,0.9413620552964207,10035.105213772082
Long,43.0766987768,42.6618615389,0.9903697996903277,9938.465140434819
Long,42.2991752681,42.3489557367,1.001176866174919,9950.161383889208
Long,40.9551026175,41.0688865456,1.0027782601148063,9977.805520397953
Long,49.352065323699996,53.7381756622,1.0888738963553304,10864.571974071445
Long,36.739306188899995,37.8057070273,1.029026156153221,11179.92873672875
Long,37.4558316961,39.6006154048,1.057261676261839,11820.110196681742
Long,39.8857877639,39.9049590149,1.0004806536883133,11825.791576244046
Long,41.0384592319,41.740606300900005,1.017109489053483,12028.124827766565
Long,41.754984739099996,40.9641706342,0.9810606060607786,11800.319433303364
Long,41.0120987618,40.7762448988,0.9942491637804287,11732.457728903812
Long,41.1276190212,40.9567453042,0.995845280590838,11683.712659060362
Long,41.1059589726,45.4235286679,1.1050351288040248,12910.912923113981
Long,47.8067824941,48.190937667600004,1.008035578917017,13014.659582798398
Long,48.026644888999996,47.978323483500006,0.9989938625608416,13001.565046534242
Long,48.2730840569,48.2585876352,0.9996996996984301,12997.660672629887
Long,47.8188628455,48.695896354700004,1.0183407437360785,13236.047436195098
Long,48.9809926469,49.3868924528,1.0082868840332841,13345.733026357895
Long,49.3434031878,48.6209981762,0.9853596435403829,13150.34673763713
Long,49.1017961605,49.688901236899994,1.0119568961282173,13307.584067629097
Long,57.072779108199995,56.8423731073,0.9959629440777155,13253.860606557575
Long,57.0630778029,57.337139677799996,1.0048027881679749,13317.516091458738
Long,58.3315234715,58.1981305236,0.9977131927993417,13287.061499765907
Long,58.9790856006,59.0760986537,1.0016448721120732,13308.917016678273
Long,59.8036965516,60.4027521541,1.010017033010378,13442.23287776672
Long,59.005764190200004,58.9984882113,0.99987669037085,13440.575321015616
Long,60.3324176907,63.279700268999996,1.048850728863702,14097.157221794714
Long,64.92895208649999,65.3084259561,1.0058444477756927,14179.547320963222
